lat,lon,radiance,bortle
33.12,126.6,3.2102,5
33.12,126.61,1.1985,4
33.12,126.62,1.2487,4
33.12,129.68,0.7759,3
33.12,129.7,1.0564,4
33.12,129.71,4.5898,5
33.12,129.72,1.5678,4
33.12,129.73,1.9671,4
33.12,129.74,1.1628,4
33.12,129.75,1.2187,4
33.12,129.76,1.0618,4
33.12,129.77,0.986,3
33.12,129.78,1.0818,4
33.12,129.79,5.0069,6
33.12,129.8,8.7103,6
33.12,129.81,4.4841,5
33.12,129.82,2.6024,5
33.12,129.83,1.3918,4
33.12,129.86,0.865,3
33.12,129.87,1.6617,4
33.12,129.88,1.1972,4
33.12,129.89,0.825,3
33.12,129.9,0.7315,3
33.12,129.92,0.8131,3
33.12,129.93,1.1831,4
33.12,129.97,0.6562,3
33.12,129.98,0.75,3
33.12,129.99,0.8716,3
33.12,130.0,2.0353,4
33.12,130.01,1.2592,4
33.12,130.03,0.7461,3
33.12,130.04,1.0008,4
33.12,130.05,0.8013,3
33.12,130.06,1.2672,4
33.12,130.07,1.2052,4
33.12,130.08,1.4506,4
33.12,130.09,3.55,5
33.12,130.1,5.5165,6
33.12,130.11,2.0055,4
33.12,130.12,1.1364,4
33.12,130.13,0.8325,3
33.12,130.17,0.6727,3
33.12,130.18,0.5948,3
33.12,130.38,0.7871,3
33.12,130.39,2.2943,4
33.12,130.4,2.3051,4
33.12,130.41,2.2164,4
33.12,130.42,2.4458,4
33.12,130.43,2.9162,5
33.12,130.44,5.458,6
33.12,130.45,2.0085,4
33.12,130.46,1.7816,4
33.12,130.47,2.2314,4
33.12,130.48,1.5443,4
33.12,130.5,1.3346,4
33.12,130.51,1.4136,4
